#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
3290,-58538.39581727295,301.88938350368306,1.051734611747143
3300,-58399.45831727295,295.5323845267391,1.051734611747143
3310,-58566.64581727295,302.8702756262535,1.051734611747143
3320,-58627.33331727295,308.6259086929905,1.051734611747143
3330,-58568.27081727295,306.5344021700946,1.051734611747143
3340,-58647.39581727295,309.64244749102085,1.051734611747143
3350,-58436.33331727295,301.26003896248824,1.051734611747143
3360,-58467.64581727295,301.70036208217266,1.051734611747143
3370,-58431.89581727295,299.7115550963207,1.051734611747143
3380,-58490.27081727295,303.45998903710995,1.051734611747143
3390,-58539.52081727295,306.62957552186396,1.051734611747143
3400,-58537.59790982562,305.56392012551555,1.0552008140513973
3410,-58411.28540982562,299.67564352090545,1.0552008140513973
3420,-58467.72290982562,301.8299399345206,1.0552008140513973
3430,-58544.84790982562,305.4106586238868,1.0552008140513973
3440,-58339.34790982562,296.70381976124617,1.0552008140513973
3450,-58388.28540982562,299.3880390353503,1.0552008140513973
3460,-58620.34790982562,310.40864534494125,1.0552008140513973
3470,-58585.97290982562,308.67976419935445,1.0552008140513973
3480,-58431.97290982562,302.4016674496831,1.0552008140513973
3490,-58393.09790982562,300.85220357325784,1.0552008140513973
3500,-58432.91040982562,299.48827863449304,1.0552008140513973
3510,-58632.66040982562,305.4415960884442,1.0552008140513973
3520,-58422.41040982562,297.8408831299249,1.0552008140513973
3530,-58452.84790982562,298.0711683540316,1.0552008140513973
3540,-58540.66040982562,301.5240044353155,1.0552008140513973
3550,-58425.78540982562,297.7968214956526,1.0552008140513973
3560,-58479.41040982562,300.5573721002183,1.0552008140513973
3570,-58486.78540982562,301.28497337247126,1.0552008140513973
3580,-58658.91040982562,307.5978066403305,1.0552008140513973
3590,-58378.72290982562,296.2505070756875,1.0552008140513973
3600,-58588.928779542795,305.2374091567653,1.0531283532605775
3610,-58441.553779542795,300.760545028537,1.0531283532605775
3620,-58569.428779542795,304.34785923294817,1.0531283532605775
3630,-58482.64671141864,302.3459326845425,1.0504565355673092
3640,-58612.27171141864,307.1072147249795,1.0504565355673092
3650,-58396.95921141864,296.9762130773373,1.0504565355673092
3660,-58558.02171141864,303.3412097905243,1.0504565355673092
3670,-58688.14671141864,308.1650553248656,1.0504565355673092
3680,-58642.85542391124,307.1685527042638,1.0515966139244255
3690,-58600.85542391124,305.15720081740955,1.0515966139244255
3700,-58661.212092435104,307.32272567550245,1.0496122908625523
3710,-58507.649592435104,302.0853302246909,1.0496122908625523
3720,-58574.399592435104,304.7642958691873,1.0496122908625523
3730,-58403.524592435104,298.13338319539235,1.0496122908625523
3740,-58499.899592435104,301.95911978302445,1.0496122908625523
3750,-58630.24183160439,307.46635793517254,1.0552654574523324
3760,-58618.42933160439,307.75273210841976,1.0552654574523324
3770,-58720.99183160439,311.42620397067094,1.0552654574523324
3780,-58618.99183160439,306.53975879038114,1.0552654574523324
3790,-58624.55433160439,306.2065614696481,1.0552654574523324
3800,-58527.67933160439,302.9617790085296,1.0552654574523324
3810,-58545.92933160439,306.2958012328526,1.0552654574523324
3820,-58489.55433160439,305.6859927845143,1.0552654574523324
3830,-58523.40836537746,308.32030781285863,1.0560479167652765
3840,-58455.65836537746,305.0755366798947,1.0560479167652765
3850,-58460.67704627442,305.57666019450886,1.055684693598752
3860,-58269.80204627442,296.9715912952449,1.055684693598752
3870,-58492.86454627442,306.4811817201838,1.055684693598752
3880,-58428.80204627442,305.3438597841888,1.055684693598752
3890,-58392.98954627442,302.6022951529339,1.055684693598752
3900,-58432.61454627442,305.29971791149524,1.055684693598752
3910,-58076.67704627442,289.89816135740796,1.055684693598752
3920,-58369.48954627442,299.7205791187183,1.055684693598752
3930,-58365.05204627442,300.9359875918177,1.055684693598752
3940,-58262.05204627442,298.0964682296271,1.055684693598752
3950,-58235.67704627442,298.3937029695699,1.055684693598752
3960,-58175.98954627442,295.9829501548771,1.055684693598752
3970,-58315.55204627442,300.69093964678126,1.055684693598752
3980,-58320.42704627442,301.3437737605322,1.055684693598752
3990,-58410.55204627442,305.3229655679281,1.055684693598752
4000,-58456.05204627442,308.6331704616896,1.055684693598752
4010,-58484.80204627442,311.45911906658694,1.055684693598752
4020,-58569.05204627442,315.4785838552498,1.055684693598752
4030,-58473.31919457228,309.83341988392857,1.055743278169701
4040,-58542.06919457228,312.9113662474107,1.055743278169701
4050,-58508.19419457228,310.5139672976852,1.055743278169701
4060,-58336.63169457228,303.69426609652317,1.055743278169701
